Author,Name,URL,LastUpdated
daemitus,WondrousTailsSolver,https://github.com/daemitus/WondrousTailsSolver,2021-08-24
daemitus,MiniCactpotSolver,https://github.com/daemitus/MiniCactpotSolver,2021-08-24
daemitus,FauxHollowsSolver,https://github.com/daemitus/FauxHollowsSolver,2021-08-24
rvazarkar,XIVQuickBossNotes,https://github.com/rvazarkar/XIVQuickBossNotes,2021-08-24
peakzero,XIVComboPlugin (fork),https://github.com/peakzero/XIVComboPlugin,2021-08-24
WesselKuipers,FCNameColor,https://github.com/WesselKuipers/FCNameColor,2021-08-23
Eternita-S,FFXIV_PaissaHouse (fork),https://github.com/Eternita-S/FFXIV_PaissaHouse,2021-08-23
Caraxi,PartyListLayout,https://github.com/Caraxi/PartyListLayout,2021-08-23
Ishamyyl,BrowserHost (fork),https://github.com/Ishamyyl/BrowserHost,2021-08-23
goaaats,dalamud-owo,https://github.com/goaaats/dalamud-owo,2021-08-23
Ottermandias,Glamourer,https://github.com/Ottermandias/Glamourer,2021-08-21
reiichi001,Dalamud-FlashOnTellPlugin,https://github.com/reiichi001/Dalamud-FlashOnTellPlugin,2021-08-21
Rylith,OpenerLearner,https://github.com/Rylith/OpenerLearner,2021-08-21
Lanselotto,ChatBubbles (fork),https://github.com/Lanselotto/ChatBubbles,2021-08-20
aers,FlyTextFilter,https://github.com/aers/FlyTextFilter,2021-08-20
wozaiha,Glamourer (fork),https://github.com/wozaiha/Glamourer,2021-08-18
sauyri,XIVComboPlugin,https://github.com/sauyri/XIVComboPlugin,2021-08-18
RapTix1337,blue-helper,https://github.com/RapTix1337/blue-helper,2021-08-18
marimelon,NoAFKPlugin,https://github.com/marimelon/NoAFKPlugin,2021-08-17
Tenrys,BrowserHost (fork),https://github.com/Tenrys/BrowserHost,2021-08-16
aers,EnemyListDebuffs,https://github.com/aers/EnemyListDebuffs,2021-08-15
aers,NamePlateDebuffs,https://github.com/aers/NamePlateDebuffs,2021-08-15
talimity,MPTimer,https://github.com/talimity/MPTimer,2021-08-15
Lamiclem,FastQuitPlugin,https://github.com/Lamiclem/FastQuitPlugin,2021-08-15
ZapleMyrup,XIVComboPlugin (fork),https://github.com/ZapleMyrup/XIVComboPlugin,2021-08-15
ButchMonkey,TooltipMBData,https://github.com/ButchMonkey/TooltipMBData,2021-08-14
Kouzukii,ffxiv-priceinsight,https://github.com/Kouzukii/ffxiv-priceinsight,2021-08-12
wozaiha,Penumbra (fork),https://github.com/wozaiha/Penumbra,2021-08-12
Bluefissure,Penumbra (fork),https://github.com/Bluefissure/Penumbra,2021-08-11
Loskh,StarlightBreaker,https://github.com/Loskh/StarlightBreaker,2021-08-11
maributt,PixelPerfectPlus (fork),https://github.com/maributt/PixelPerfectPlus,2021-08-11
chalkos,RepairMe,https://github.com/chalkos/RepairMe,2021-08-11
